Entrada 1	Entrada 2	Entrada 3	Salida 1	Salida 2	
-1.000000	-1.000000	-1.000000	0.637500	-0.637500	
-1.000000	-1.000000	-0.900000	0.637500	-0.637500	
-1.000000	-1.000000	-0.800000	0.637500	-0.637500	
-1.000000	-1.000000	-0.700000	0.637500	-0.637500	
-1.000000	-1.000000	-0.600000	0.637500	-0.637500	
-1.000000	-1.000000	-0.500000	0.637500	-0.637500	
-1.000000	-1.000000	-0.400000	0.618805	-0.618805	
-1.000000	-1.000000	-0.300000	0.597623	-0.597623	
-1.000000	-1.000000	-0.200000	0.595489	-0.595489	
-1.000000	-1.000000	-0.100000	0.616790	-0.616790	
-1.000000	-1.000000	0.000000	0.636650	-0.636650	
-1.000000	-1.000000	0.100000	0.618805	-0.618805	
-1.000000	-1.000000	0.200000	0.597623	-0.597623	
-1.000000	-1.000000	0.300000	0.595489	-0.595489	
-1.000000	-1.000000	0.400000	0.616791	-0.616790	
-1.000000	-1.000000	0.500000	0.636650	-0.636650	
-1.000000	-1.000000	0.600000	0.637500	-0.637500	
-1.000000	-1.000000	0.700000	0.637500	-0.637500	
-1.000000	-1.000000	0.800000	0.637500	-0.637500	
-1.000000	-1.000000	0.900000	0.637500	-0.637500	
-1.000000	-1.000000	1.000000	0.637500	-0.637500	
-1.000000	-0.900000	-1.000000	0.637500	-0.637500	
-1.000000	-0.900000	-0.900000	0.637500	-0.637500	
-1.000000	-0.900000	-0.800000	0.637500	-0.637500	
-1.000000	-0.900000	-0.700000	0.637500	-0.637500	
-1.000000	-0.900000	-0.600000	0.637500	-0.637500	
-1.000000	-0.900000	-0.500000	0.637500	-0.637500	
-1.000000	-0.900000	-0.400000	0.618805	-0.618805	
-1.000000	-0.900000	-0.300000	0.597623	-0.597623	
-1.000000	-0.900000	-0.200000	0.595489	-0.595489	
-1.000000	-0.900000	-0.100000	0.616790	-0.616790	
-1.000000	-0.900000	0.000000	0.636650	-0.636650	
-1.000000	-0.900000	0.100000	0.618805	-0.618805	
-1.000000	-0.900000	0.200000	0.597623	-0.597623	
-1.000000	-0.900000	0.300000	0.595489	-0.595489	
-1.000000	-0.900000	0.400000	0.616791	-0.616790	
-1.000000	-0.900000	0.500000	0.636650	-0.636650	
-1.000000	-0.900000	0.600000	0.637500	-0.637500	
-1.000000	-0.900000	0.700000	0.637500	-0.637500	
-1.000000	-0.900000	0.800000	0.637500	-0.637500	
-1.000000	-0.900000	0.900000	0.637500	-0.637500	
-1.000000	-0.900000	1.000000	0.637500	-0.637500	
-1.000000	-0.800000	-1.000000	0.637500	-0.637500	
-1.000000	-0.800000	-0.900000	0.637500	-0.637500	
-1.000000	-0.800000	-0.800000	0.637500	-0.637500	
-1.000000	-0.800000	-0.700000	0.637500	-0.637500	
-1.000000	-0.800000	-0.600000	0.637500	-0.637500	
-1.000000	-0.800000	-0.500000	0.637500	-0.637500	
-1.000000	-0.800000	-0.400000	0.618805	-0.618805	
-1.000000	-0.800000	-0.300000	0.597623	-0.597623	
-1.000000	-0.800000	-0.200000	0.595489	-0.595489	
-1.000000	-0.800000	-0.100000	0.616790	-0.616790	
-1.000000	-0.800000	0.000000	0.636650	-0.636650	
-1.000000	-0.800000	0.100000	0.618805	-0.618805	
-1.000000	-0.800000	0.200000	0.597623	-0.597623	
-1.000000	-0.800000	0.300000	0.595489	-0.595489	
-1.000000	-0.800000	0.400000	0.616791	-0.616790	
-1.000000	-0.800000	0.500000	0.636650	-0.636650	
-1.000000	-0.800000	0.600000	0.637500	-0.637500	
-1.000000	-0.800000	0.700000	0.637500	-0.637500	
-1.000000	-0.800000	0.800000	0.637500	-0.637500	
-1.000000	-0.800000	0.900000	0.637500	-0.637500	
-1.000000	-0.800000	1.000000	0.637500	-0.637500	
-1.000000	-0.700000	-1.000000	0.637500	-0.637500	
-1.000000	-0.700000	-0.900000	0.637500	-0.637500	
-1.000000	-0.700000	-0.800000	0.637500	-0.637500	
-1.000000	-0.700000	-0.700000	0.637500	-0.637500	
-1.000000	-0.700000	-0.600000	0.637500	-0.637500	
-1.000000	-0.700000	-0.500000	0.637500	-0.637500	
-1.000000	-0.700000	-0.400000	0.618805	-0.618805	
-1.000000	-0.700000	-0.300000	0.597623	-0.597623	
-1.000000	-0.700000	-0.200000	0.595489	-0.595489	
-1.000000	-0.700000	-0.100000	0.616790	-0.616790	
-1.000000	-0.700000	0.000000	0.636650	-0.636650	
-1.000000	-0.700000	0.100000	0.618805	-0.618805	
-1.000000	-0.700000	0.200000	0.597623	-0.597623	
-1.000000	-0.700000	0.300000	0.595489	-0.595489	
-1.000000	-0.700000	0.400000	0.616791	-0.616790	
-1.000000	-0.700000	0.500000	0.636650	-0.636650	
-1.000000	-0.700000	0.600000	0.637500	-0.637500	
-1.000000	-0.700000	0.700000	0.637500	-0.637500	
-1.000000	-0.700000	0.800000	0.637500	-0.637500	
-1.000000	-0.700000	0.900000	0.637500	-0.637500	
-1.000000	-0.700000	1.000000	0.637500	-0.637500	
-1.000000	-0.600000	-1.000000	0.637500	-0.637500	
-1.000000	-0.600000	-0.900000	0.637500	-0.637500	
-1.000000	-0.600000	-0.800000	0.637500	-0.637500	
-1.000000	-0.600000	-0.700000	0.637500	-0.637500	
-1.000000	-0.600000	-0.600000	0.637500	-0.637500	
-1.000000	-0.600000	-0.500000	0.637500	-0.637500	
-1.000000	-0.600000	-0.400000	0.618805	-0.618805	
-1.000000	-0.600000	-0.300000	0.597623	-0.597623	
-1.000000	-0.600000	-0.200000	0.595489	-0.595489	
-1.000000	-0.600000	-0.100000	0.616790	-0.616790	
-1.000000	-0.600000	0.000000	0.636650	-0.636650	
-1.000000	-0.600000	0.100000	0.618805	-0.618805	
-1.000000	-0.600000	0.200000	0.597623	-0.597623	
-1.000000	-0.600000	0.300000	0.595489	-0.595489	
-1.000000	-0.600000	0.400000	0.616791	-0.616790	
-1.000000	-0.600000	0.500000	0.636650	-0.636650	
-1.000000	-0.600000	0.600000	0.637500	-0.637500	
-1.000000	-0.600000	0.700000	0.637500	-0.637500	
-1.000000	-0.600000	0.800000	0.637500	-0.637500	
-1.000000	-0.600000	0.900000	0.637500	-0.637500	
-1.000000	-0.600000	1.000000	0.637500	-0.637500	
-1.000000	-0.500000	-1.000000	0.637500	-0.637500	
-1.000000	-0.500000	-0.900000	0.637500	-0.637500	
-1.000000	-0.500000	-0.800000	0.637500	-0.637500	
-1.000000	-0.500000	-0.700000	0.637500	-0.637500	
-1.000000	-0.500000	-0.600000	0.637500	-0.637500	
-1.000000	-0.500000	-0.500000	0.637500	-0.637500	
-1.000000	-0.500000	-0.400000	0.618805	-0.618805	
-1.000000	-0.500000	-0.300000	0.597623	-0.597623	
-1.000000	-0.500000	-0.200000	0.595489	-0.595489	
-1.000000	-0.500000	-0.100000	0.616790	-0.616790	
-1.000000	-0.500000	0.000000	0.636650	-0.636650	
-1.000000	-0.500000	0.100000	0.618805	-0.618805	
-1.000000	-0.500000	0.200000	0.597623	-0.597623	
-1.000000	-0.500000	0.300000	0.595489	-0.595489	
-1.000000	-0.500000	0.400000	0.616791	-0.616790	
-1.000000	-0.500000	0.500000	0.636650	-0.636650	
-1.000000	-0.500000	0.600000	0.637500	-0.637500	
-1.000000	-0.500000	0.700000	0.637500	-0.637500	
-1.000000	-0.500000	0.800000	0.637500	-0.637500	
-1.000000	-0.500000	0.900000	0.637500	-0.637500	
-1.000000	-0.500000	1.000000	0.637500	-0.637500	
-1.000000	-0.400000	-1.000000	0.618805	-0.618805	
-1.000000	-0.400000	-0.900000	0.618805	-0.618805	
-1.000000	-0.400000	-0.800000	0.618805	-0.618805	
-1.000000	-0.400000	-0.700000	0.618805	-0.618805	
-1.000000	-0.400000	-0.600000	0.618805	-0.618805	
-1.000000	-0.400000	-0.500000	0.618805	-0.618805	
-1.000000	-0.400000	-0.400000	0.598917	-0.598917	
-1.000000	-0.400000	-0.300000	0.576768	-0.576768	
-1.000000	-0.400000	-0.200000	0.573684	-0.573684	
-1.000000	-0.400000	-0.100000	0.596296	-0.596296	
-1.000000	-0.400000	0.000000	0.617647	-0.617647	
-1.000000	-0.400000	0.100000	0.598917	-0.598917	
-1.000000	-0.400000	0.200000	0.576768	-0.576768	
-1.000000	-0.400000	0.300000	0.573684	-0.573684	
-1.000000	-0.400000	0.400000	0.596296	-0.596296	
-1.000000	-0.400000	0.500000	0.522078	-0.522078	
-1.000000	-0.400000	0.600000	0.519206	-0.519206	
-1.000000	-0.400000	0.700000	0.519206	-0.519206	
-1.000000	-0.400000	0.800000	0.519206	-0.519206	
-1.000000	-0.400000	0.900000	0.519206	-0.519206	
-1.000000	-0.400000	1.000000	0.519206	-0.519206	
-1.000000	-0.300000	-1.000000	0.597623	-0.597623	
-1.000000	-0.300000	-0.900000	0.597623	-0.597623	
-1.000000	-0.300000	-0.800000	0.597623	-0.597623	
-1.000000	-0.300000	-0.700000	0.597623	-0.597623	
-1.000000	-0.300000	-0.600000	0.597623	-0.597623	
-1.000000	-0.300000	-0.500000	0.597623	-0.597623	
-1.000000	-0.300000	-0.400000	0.576768	-0.576768	
-1.000000	-0.300000	-0.300000	0.554128	-0.554128	
-1.000000	-0.300000	-0.200000	0.550000	-0.550000	
-1.000000	-0.300000	-0.100000	0.573684	-0.573684	
-1.000000	-0.300000	0.000000	0.596296	-0.596296	
-1.000000	-0.300000	0.100000	0.576768	-0.576768	
-1.000000	-0.300000	0.200000	0.554128	-0.554128	
-1.000000	-0.300000	0.300000	0.550000	-0.550000	
-1.000000	-0.300000	0.400000	0.425532	-0.425532	
-1.000000	-0.300000	0.500000	0.401370	-0.401370	
-1.000000	-0.300000	0.600000	0.400809	-0.400809	
-1.000000	-0.300000	0.700000	0.400809	-0.400809	
-1.000000	-0.300000	0.800000	0.400809	-0.400809	
-1.000000	-0.300000	0.900000	0.400809	-0.400809	
-1.000000	-0.300000	1.000000	0.400809	-0.400809	
-1.000000	-0.200000	-1.000000	0.595489	-0.595489	
-1.000000	-0.200000	-0.900000	0.595489	-0.595489	
-1.000000	-0.200000	-0.800000	0.595489	-0.595489	
-1.000000	-0.200000	-0.700000	0.595489	-0.595489	
-1.000000	-0.200000	-0.600000	0.595489	-0.595489	
-1.000000	-0.200000	-0.500000	0.595489	-0.595489	
-1.000000	-0.200000	-0.400000	0.573684	-0.573684	
-1.000000	-0.200000	-0.300000	0.550000	-0.550000	
-1.000000	-0.200000	-0.200000	0.550000	-0.550000	
-1.000000	-0.200000	-0.100000	0.557577	-0.557577	
-1.000000	-0.200000	0.000000	0.585914	-0.585914	
-1.000000	-0.200000	0.100000	0.561181	-0.561181	
-1.000000	-0.200000	0.200000	0.550000	-0.550000	
-1.000000	-0.200000	0.300000	0.000000	0.000000	
-1.000000	-0.200000	0.400000	0.211268	-0.211268	
-1.000000	-0.200000	0.500000	0.280597	-0.280597	
-1.000000	-0.200000	0.600000	0.282870	-0.282870	
-1.000000	-0.200000	0.700000	0.282870	-0.282870	
-1.000000	-0.200000	0.800000	0.282870	-0.282870	
-1.000000	-0.200000	0.900000	0.282870	-0.282870	
-1.000000	-0.200000	1.000000	0.282870	-0.282870	
-1.000000	-0.100000	-1.000000	0.616790	-0.616790	
-1.000000	-0.100000	-0.900000	0.616790	-0.616790	
-1.000000	-0.100000	-0.800000	0.616790	-0.616790	
-1.000000	-0.100000	-0.700000	0.616790	-0.616790	
-1.000000	-0.100000	-0.600000	0.616790	-0.616790	
-1.000000	-0.100000	-0.500000	0.616790	-0.616790	
-1.000000	-0.100000	-0.400000	0.596296	-0.596296	
